Time,Acelerometer,Gyroscope,Magnetometer
00:28:36,"[-0.079102, 0.023193, 0.994629]","[0.854492, -0.457764, -0.12207]","[61.784219, 58.771968, -73.183093]"
00:28:37,"[-0.073242, 0.021484, 0.998779]","[1.037598, -0.396729, -0.030518]","[61.962271, 61.094265, -72.322115]"
00:28:38,"[-0.070557, 0.023193, 0.991455]","[1.037598, -0.488281, 0.030518]","[61.250061, 58.59333, -72.666506]"
00:28:39,"[-0.070801, 0.018066, 0.990234]","[0.88501, -0.213623, 0.0]","[61.784219, 59.129245, -71.805529]"
00:28:40,"[-0.074951, 0.015381, 0.995605]","[1.098633, -0.732422, 0.12207]","[60.715904, 59.843798, -71.461138]"
00:28:41,"[-0.073975, 0.023438, 0.997559]","[1.037598, -0.213623, -0.030518]","[61.072009, 57.342863, -74.216266]"
00:28:42,"[-0.071533, 0.019775, 0.995605]","[1.159668, -0.152588, -0.091553]","[62.318376, 58.950607, -72.666506]"
00:28:43,"[-0.070068, 0.020508, 0.997559]","[1.12915, -0.366211, -0.030518]","[60.715904, 59.129245, -71.461138]"
00:28:44,"[-0.070312, 0.021484, 0.994629]","[1.190186, -0.335693, -0.152588]","[62.674481, 57.878777, -72.666506]"
00:28:45,"[-0.073486, 0.020752, 0.989746]","[1.220703, -0.518799, 0.0]","[62.496429, 58.414692, -71.461138]"
00:28:46,"[-0.073486, 0.023926, 0.996826]","[0.976562, -0.335693, -0.183105]","[62.852534, 58.771968, -72.14992]"
00:28:47,"[-0.072021, 0.023926, 0.988281]","[1.00708, -0.396729, -0.091553]","[62.318376, 59.307883, -73.355288]"
00:28:48,"[-0.071777, 0.018311, 0.989502]","[1.159668, -0.183105, 0.0]","[61.784219, 58.771968, -71.461138]"
00:28:49,"[-0.08252, 0.019287, 1.021729]","[0.427246, 0.305176, 0.244141]","[62.140324, 58.771968, -71.461138]"
00:28:50,"[-0.073486, 0.016602, 0.994385]","[0.732422, -0.244141, -0.12207]","[63.208639, 57.342863, -72.494311]"
00:28:51,"[-0.074219, 0.020508, 0.993896]","[1.220703, -0.488281, 0.061035]","[62.318376, 57.521501, -73.010897]"
00:28:52,"[-0.074219, 0.02002, 0.997314]","[0.976562, -0.488281, 0.030518]","[61.428114, 58.414692, -72.494311]"
00:28:53,"[-0.072266, 0.019287, 0.993896]","[0.88501, -0.427246, 0.061035]","[61.962271, 56.449672, -71.977724]"
00:28:54,"[-0.073486, 0.025879, 0.990967]","[1.12915, -0.518799, 0.091553]","[62.318376, 58.59333, -71.977724]"
00:28:55,"[-0.070557, 0.021973, 0.99707]","[0.915527, -0.366211, -0.030518]","[60.893956, 57.164225, -73.355288]"
00:28:56,"[-0.07373, 0.02417, 0.99292]","[1.00708, -0.366211, -0.152588]","[62.140324, 57.700139, -71.461138]"
00:28:57,"[-0.071045, 0.016602, 0.987305]","[1.190186, -0.274658, 0.12207]","[61.428114, 57.700139, -72.494311]"
00:28:58,"[-0.070068, 0.022949, 0.99292]","[0.88501, -0.88501, 0.091553]","[61.428114, 59.843798, -73.183093]"
00:28:59,"[-0.068604, 0.022461, 0.991943]","[0.88501, -0.488281, 0.0]","[61.250061, 57.878777, -71.633333]"
00:29:00,"[-0.07666, 0.023193, 0.993896]","[1.098633, -0.335693, 0.12207]","[61.784219, 58.057416, -72.838702]"
00:29:01,"[-0.071289, 0.022949, 0.997314]","[1.281738, -0.488281, 0.061035]","[63.030586, 58.236054, -72.322115]"
00:29:02,"[-0.071533, 0.018555, 0.987305]","[1.220703, -0.335693, 0.12207]","[60.893956, 58.236054, -73.010897]"
00:29:03,"[-0.069336, 0.021729, 0.998291]","[1.098633, -0.335693, 0.244141]","[61.250061, 58.236054, -73.699679]"
00:29:04,"[-0.071533, 0.023193, 0.994385]","[1.12915, -0.366211, -0.12207]","[62.140324, 57.342863, -74.216266]"
00:29:06,"[-0.06958, 0.021729, 0.997314]","[1.12915, -0.427246, -0.030518]","[61.250061, 55.735119, -72.322115]"
00:29:07,"[-0.071777, 0.02002, 0.991943]","[1.159668, -0.183105, 0.091553]","[62.140324, 57.700139, -72.838702]"
00:29:08,"[-0.073975, 0.021484, 0.996094]","[0.976562, -0.366211, 0.183105]","[61.428114, 58.057416, -72.494311]"
00:29:09,"[-0.072754, 0.018799, 0.996094]","[1.098633, -0.305176, 0.183105]","[61.072009, 59.129245, -70.772356]"
00:29:10,"[-0.069824, 0.022461, 0.995605]","[1.098633, -0.305176, 0.030518]","[61.962271, 58.59333, -73.010897]"
00:29:11,"[-0.07373, 0.018555, 0.996826]","[0.946045, -0.610352, -0.061035]","[62.318376, 58.236054, -70.60016]"
00:29:12,"[-0.072021, 0.020508, 0.99292]","[0.793457, -0.305176, 0.0]","[62.140324, 59.486521, -73.527484]"
00:29:13,"[-0.071777, 0.02002, 0.995605]","[1.190186, -0.213623, 0.061035]","[61.962271, 58.59333, -71.977724]"
